How far away is the next taxi?,transport
Is there a taxi outside?,transport
Will the next taxi be coming soon?,transport
How long away is the next taxi?,transport
When will the next taxi come?,transport
Is there a taxi coming?,transport
When is the next taxi coming?,transport
Where is the closest taxi?,transport
How long I have to wait for taxi?,transport
Is there a taxi on this route?,transport
Will I be able to get a taxi now?,transport
Is there a taxi nearby?,transport
Is there a taxi coming soon?,transport
Is there traffic outside?,condition
Are the taxis on strike today?,condition
Is there a minivan taxi on this route?,condition
How many taxis are on this route?,condition
How fast is the taxi appraching?,condition
Is there a taxi strike?,condition
Will I get a taxi in 5 minutes?,condition
Can I get a minivan?,condition
Can I get a taxi in 5 minutes?,condition
Are the taxis stuck in traffic?,condition
Is there traffic on this route?,condition
Is the traffic slow?,condition
Is there a traffic jam outside?,condition
